DateStart,DateEnd,Interval Days,GeoName,Keyword1_my * stolen+burglary-car-turck-bus
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,49
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,81
2012-01-01,2018-12-31,2557,Atlanta GA,71
2012-01-01,2018-12-31,2557,Austin TX,66
2012-01-01,2018-12-31,2557,Baltimore MD,62
2012-01-01,2018-12-31,2557,Birmingham AL,68
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,52
2012-01-01,2018-12-31,2557,Buffalo NY,55
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,54
2012-01-01,2018-12-31,2557,Charlotte NC,62
2012-01-01,2018-12-31,2557,Chicago IL,63
2012-01-01,2018-12-31,2557,Cincinnati OH,61
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,56
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,83
2012-01-01,2018-12-31,2557,Columbia SC,77
2012-01-01,2018-12-31,2557,Columbus OH,64
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,70
2012-01-01,2018-12-31,2557,Dayton OH,55
2012-01-01,2018-12-31,2557,Denver CO,67
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,51
2012-01-01,2018-12-31,2557,Detroit MI,59
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,100
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,54
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,57
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,64
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,71
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,49
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,55
2012-01-01,2018-12-31,2557,Honolulu HI,69
2012-01-01,2018-12-31,2557,Houston TX,80
2012-01-01,2018-12-31,2557,Indianapolis IN,68
2012-01-01,2018-12-31,2557,Jacksonville FL,66
2012-01-01,2018-12-31,2557,Kansas City MO,67
2012-01-01,2018-12-31,2557,Knoxville TN,65
2012-01-01,2018-12-31,2557,Las Vegas NV,99
2012-01-01,2018-12-31,2557,Lexington KY,67
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,80
2012-01-01,2018-12-31,2557,Los Angeles CA,84
2012-01-01,2018-12-31,2557,Louisville KY,66
2012-01-01,2018-12-31,2557,Memphis TN,73
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,76
2012-01-01,2018-12-31,2557,Milwaukee WI,60
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,53
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,66
2012-01-01,2018-12-31,2557,Nashville TN,60
2012-01-01,2018-12-31,2557,New Orleans LA,71
2012-01-01,2018-12-31,2557,New York NY,59
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,57
2012-01-01,2018-12-31,2557,Oklahoma City OK,74
2012-01-01,2018-12-31,2557,Omaha NE,56
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,69
2012-01-01,2018-12-31,2557,Philadelphia PA,60
2012-01-01,2018-12-31,2557,Phoenix AZ,78
2012-01-01,2018-12-31,2557,Pittsburgh PA,49
2012-01-01,2018-12-31,2557,Portland OR,58
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,63
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,61
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,63
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,92
2012-01-01,2018-12-31,2557,Salt Lake City UT,68
2012-01-01,2018-12-31,2557,San Antonio TX,83
2012-01-01,2018-12-31,2557,San Diego CA,77
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,77
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,77
2012-01-01,2018-12-31,2557,Spokane WA,63
2012-01-01,2018-12-31,2557,Springfield MO,71
2012-01-01,2018-12-31,2557,St. Louis MO,65
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,66
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,74
2012-01-01,2018-12-31,2557,Tulsa OK,66
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,72
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),52
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,63
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,72
