DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,59
2012-01-01,2018-12-31,2557,Austin TX,49
2012-01-01,2018-12-31,2557,Baltimore MD,54
2012-01-01,2018-12-31,2557,"Billings, MT",28
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,29
2012-01-01,2018-12-31,2557,Charlotte NC,46
2012-01-01,2018-12-31,2557,Chicago IL,47
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,39
2012-01-01,2018-12-31,2557,Columbus OH,47
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,65
2012-01-01,2018-12-31,2557,Denver CO,57
2012-01-01,2018-12-31,2557,Detroit MI,53
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,72
2012-01-01,2018-12-31,2557,Houston TX,75
2012-01-01,2018-12-31,2557,Indianapolis IN,48
2012-01-01,2018-12-31,2557,Kansas City MO,71
2012-01-01,2018-12-31,2557,Las Vegas NV,100
2012-01-01,2018-12-31,2557,Los Angeles CA,74
2012-01-01,2018-12-31,2557,Louisville KY,62
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,54
2012-01-01,2018-12-31,2557,Milwaukee WI,46
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,42
2012-01-01,2018-12-31,2557,Nashville TN,43
2012-01-01,2018-12-31,2557,New York NY,38
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,47
2012-01-01,2018-12-31,2557,Oklahoma City OK,63
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,50
2012-01-01,2018-12-31,2557,Philadelphia PA,40
2012-01-01,2018-12-31,2557,Phoenix AZ,63
2012-01-01,2018-12-31,2557,Portland OR,59
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,43
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,96
2012-01-01,2018-12-31,2557,Salt Lake City UT,50
2012-01-01,2018-12-31,2557,San Antonio TX,83
2012-01-01,2018-12-31,2557,San Diego CA,77
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,74
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,75
2012-01-01,2018-12-31,2557,Springfield MO,67
2012-01-01,2018-12-31,2557,St. Louis MO,48
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,54
2012-01-01,2018-12-31,2557,Tulsa OK,74
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),37
