DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,62
2012-01-01,2018-12-31,2557,Austin TX,54
2012-01-01,2018-12-31,2557,Baltimore MD,46
2012-01-01,2018-12-31,2557,"Billings, MT",27
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,28
2012-01-01,2018-12-31,2557,Charlotte NC,46
2012-01-01,2018-12-31,2557,Chicago IL,47
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,41
2012-01-01,2018-12-31,2557,Columbus OH,40
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,66
2012-01-01,2018-12-31,2557,Denver CO,57
2012-01-01,2018-12-31,2557,Detroit MI,49
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,76
2012-01-01,2018-12-31,2557,Houston TX,81
2012-01-01,2018-12-31,2557,Indianapolis IN,50
2012-01-01,2018-12-31,2557,Kansas City MO,74
2012-01-01,2018-12-31,2557,Las Vegas NV,100
2012-01-01,2018-12-31,2557,Los Angeles CA,74
2012-01-01,2018-12-31,2557,Louisville KY,67
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,57
2012-01-01,2018-12-31,2557,Milwaukee WI,48
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,40
2012-01-01,2018-12-31,2557,Nashville TN,51
2012-01-01,2018-12-31,2557,New York NY,38
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,41
2012-01-01,2018-12-31,2557,Oklahoma City OK,62
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,43
2012-01-01,2018-12-31,2557,Philadelphia PA,44
2012-01-01,2018-12-31,2557,Phoenix AZ,60
2012-01-01,2018-12-31,2557,Portland OR,52
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,35
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,95
2012-01-01,2018-12-31,2557,Salt Lake City UT,40
2012-01-01,2018-12-31,2557,San Antonio TX,68
2012-01-01,2018-12-31,2557,San Diego CA,75
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,68
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,74
2012-01-01,2018-12-31,2557,Springfield MO,66
2012-01-01,2018-12-31,2557,St. Louis MO,55
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,53
2012-01-01,2018-12-31,2557,Tulsa OK,82
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),40
