DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,62
2012-01-01,2018-12-31,2557,Austin TX,57
2012-01-01,2018-12-31,2557,Baltimore MD,49
2012-01-01,2018-12-31,2557,"Billings, MT",40
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,32
2012-01-01,2018-12-31,2557,Charlotte NC,53
2012-01-01,2018-12-31,2557,Chicago IL,54
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,39
2012-01-01,2018-12-31,2557,Columbus OH,51
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,75
2012-01-01,2018-12-31,2557,Denver CO,57
2012-01-01,2018-12-31,2557,Detroit MI,57
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,89
2012-01-01,2018-12-31,2557,Houston TX,86
2012-01-01,2018-12-31,2557,Indianapolis IN,53
2012-01-01,2018-12-31,2557,Kansas City MO,77
2012-01-01,2018-12-31,2557,Las Vegas NV,97
2012-01-01,2018-12-31,2557,Los Angeles CA,83
2012-01-01,2018-12-31,2557,Louisville KY,66
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,58
2012-01-01,2018-12-31,2557,Milwaukee WI,52
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,44
2012-01-01,2018-12-31,2557,Nashville TN,50
2012-01-01,2018-12-31,2557,New York NY,41
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,43
2012-01-01,2018-12-31,2557,Oklahoma City OK,74
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,55
2012-01-01,2018-12-31,2557,Philadelphia PA,44
2012-01-01,2018-12-31,2557,Phoenix AZ,67
2012-01-01,2018-12-31,2557,Portland OR,56
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,43
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,45
2012-01-01,2018-12-31,2557,San Antonio TX,69
2012-01-01,2018-12-31,2557,San Diego CA,78
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,76
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,83
2012-01-01,2018-12-31,2557,Springfield MO,86
2012-01-01,2018-12-31,2557,St. Louis MO,57
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,56
2012-01-01,2018-12-31,2557,Tulsa OK,88
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),39
