DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,59
2012-01-01,2018-12-31,2557,Austin TX,62
2012-01-01,2018-12-31,2557,Baltimore MD,47
2012-01-01,2018-12-31,2557,"Billings, MT",34
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,28
2012-01-01,2018-12-31,2557,Charlotte NC,51
2012-01-01,2018-12-31,2557,Chicago IL,54
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,38
2012-01-01,2018-12-31,2557,Columbus OH,49
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,73
2012-01-01,2018-12-31,2557,Denver CO,61
2012-01-01,2018-12-31,2557,Detroit MI,54
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,95
2012-01-01,2018-12-31,2557,Houston TX,87
2012-01-01,2018-12-31,2557,Indianapolis IN,53
2012-01-01,2018-12-31,2557,Kansas City MO,77
2012-01-01,2018-12-31,2557,Las Vegas NV,90
2012-01-01,2018-12-31,2557,Los Angeles CA,80
2012-01-01,2018-12-31,2557,Louisville KY,63
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,57
2012-01-01,2018-12-31,2557,Milwaukee WI,51
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,43
2012-01-01,2018-12-31,2557,Nashville TN,47
2012-01-01,2018-12-31,2557,New York NY,39
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,49
2012-01-01,2018-12-31,2557,Oklahoma City OK,75
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,55
2012-01-01,2018-12-31,2557,Philadelphia PA,44
2012-01-01,2018-12-31,2557,Phoenix AZ,70
2012-01-01,2018-12-31,2557,Portland OR,53
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,43
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,47
2012-01-01,2018-12-31,2557,San Antonio TX,74
2012-01-01,2018-12-31,2557,San Diego CA,74
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,77
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,79
2012-01-01,2018-12-31,2557,Springfield MO,79
2012-01-01,2018-12-31,2557,St. Louis MO,54
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,56
2012-01-01,2018-12-31,2557,Tulsa OK,82
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),39
