DateStart,DateEnd,Interval Days,GeoName,Keyword1_I * raped+someone raped me+rape report police+my * raped me+being raped+been raped
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,70
2012-01-01,2018-12-31,2557,Atlanta GA,75
2012-01-01,2018-12-31,2557,Austin TX,55
2012-01-01,2018-12-31,2557,Baltimore MD,65
2012-01-01,2018-12-31,2557,Birmingham AL,79
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,60
2012-01-01,2018-12-31,2557,Buffalo NY,79
2012-01-01,2018-12-31,2557,Charlotte NC,72
2012-01-01,2018-12-31,2557,Chicago IL,65
2012-01-01,2018-12-31,2557,Cincinnati OH,72
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,73
2012-01-01,2018-12-31,2557,Columbus OH,73
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,71
2012-01-01,2018-12-31,2557,Denver CO,57
2012-01-01,2018-12-31,2557,Detroit MI,79
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,77
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,76
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,72
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,72
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,74
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,56
2012-01-01,2018-12-31,2557,Honolulu HI,53
2012-01-01,2018-12-31,2557,Houston TX,70
2012-01-01,2018-12-31,2557,Indianapolis IN,77
2012-01-01,2018-12-31,2557,Jacksonville FL,73
2012-01-01,2018-12-31,2557,Kansas City MO,74
2012-01-01,2018-12-31,2557,Las Vegas NV,69
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,100
2012-01-01,2018-12-31,2557,Los Angeles CA,63
2012-01-01,2018-12-31,2557,Louisville KY,84
2012-01-01,2018-12-31,2557,Memphis TN,82
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,57
2012-01-01,2018-12-31,2557,Milwaukee WI,53
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,61
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,71
2012-01-01,2018-12-31,2557,Nashville TN,79
2012-01-01,2018-12-31,2557,New Orleans LA,78
2012-01-01,2018-12-31,2557,New York NY,60
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,83
2012-01-01,2018-12-31,2557,Oklahoma City OK,75
2012-01-01,2018-12-31,2557,Omaha NE,63
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,65
2012-01-01,2018-12-31,2557,Philadelphia PA,71
2012-01-01,2018-12-31,2557,Phoenix AZ,63
2012-01-01,2018-12-31,2557,Pittsburgh PA,74
2012-01-01,2018-12-31,2557,Portland OR,52
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,68
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,68
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,69
2012-01-01,2018-12-31,2557,Salt Lake City UT,58
2012-01-01,2018-12-31,2557,San Antonio TX,80
2012-01-01,2018-12-31,2557,San Diego CA,52
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,52
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,61
2012-01-01,2018-12-31,2557,Springfield MO,91
2012-01-01,2018-12-31,2557,St. Louis MO,77
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,68
2012-01-01,2018-12-31,2557,Tulsa OK,67
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),61
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,68
